CO,H2,NO,H2S,NH3,VOC,CO2,Results
0.027597936,0.250581821,0.044288504,0.085057068,0.091294647,0.090111399,0.09112376,1
0.027835655,0.263119492,0.054160413,0.089951973,0.096668665,0.094698484,0.105638956,1
0.035730468,0.275400438,0.056579326,0.101630618,0.104321104,0.086993919,0.116368822,1
0.033558499,0.293438935,0.059048663,0.103899926,0.105408048,0.107113614,0.142687488,1
0.030583302,0.306800624,0.063933288,0.103666431,0.113203988,0.11125199,0.16317502,1
0.02886758,0.322150166,0.066384609,0.114110661,0.111282137,0.122593222,0.170639065,1
-0.005248144,0.341486201,0.068829924,0.117514239,0.131143812,0.114732258,0.183211466,1
0.016987729,0.351420455,0.07208974,0.118874967,0.127358129,0.133795993,0.196400698,1
0.013027778,0.366060031,0.073991451,0.120463069,0.131089189,0.140785459,0.204987909,1
0.020747356,0.374251308,0.078967168,0.12470122,0.132698585,0.147842255,0.225267556,1
0.017263831,0.058474223,0.037393864,0.102548968,0.078990207,0.034359092,0.139199435,1
0.020289155,0.067015805,0.034225892,0.109413334,0.089971376,0.047544908,0.160296277,1
0.018051516,0.068197197,0.041451377,0.116878059,0.097010632,0.053343,0.179910029,1
0.019941682,0.076321001,0.044431486,0.123282027,0.107900252,0.066181386,0.19836304,1
0.021453462,0.079422732,0.044578142,0.129532529,0.115504149,0.070765941,0.215934773,1
0.024215048,0.083164578,0.045620397,0.133750685,0.123296259,0.079828797,0.23933625,1
0.028894712,0.090328583,0.049271909,0.135612634,0.125173053,0.09088835,0.248111174,1
0.026492316,0.092336262,0.050836498,0.144149752,0.133278833,0.094340611,0.265347058,1
0.028879009,0.097021094,0.050947594,0.147616108,0.139861566,0.100805487,0.275644932,1
0.025618567,0.102507139,0.05313376,0.151617266,0.146385341,0.105738804,0.299471288,1
0.015403955,0.218421664,0.036482815,0.074577237,0.076244424,0.073738721,0.09653789,1
0.01972091,0.234614454,0.037619235,0.077283284,0.078820568,0.084269874,0.111277552,1
0.021148392,0.248668289,0.0390236,0.08056809,0.082938331,0.093034115,0.144467126,1
0.021435601,0.265260914,0.039870528,0.082565041,0.090052445,0.101093517,0.14905031,1
0.02037956,0.277104005,0.043876168,0.094091252,0.093796404,0.106701398,0.168151645,1
0.016868075,0.29146539,0.047121295,0.09371616,0.103926179,0.109629555,0.189067318,1
0.021855982,0.303455423,0.052793425,0.0974332,0.10204034,0.118985318,0.195895905,1
0.025603331,0.315494438,0.050883031,0.098547183,0.108043527,0.123079958,0.211654408,1
0.022004667,0.326759329,0.055392152,0.101785128,0.106160768,0.129191029,0.222438646,1
0.022054229,0.33941011,0.057885999,0.101608166,0.107534244,0.134220537,0.239424247,1
